GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
BHS,Bahamas,BHS.23_1,North Andros,,,District,District,,BS.NN,0.12914501627286276,29.62769889831543,2.2935167948404946
BHS,Bahamas,BHS.24_1,North Eleuthera,,,District,District,,BS.NE,0.10532989104588826,27.99788475036621,2.1698530515034995
BHS,Bahamas,BHS.25_1,Ragged Island,,,District,District,,BS.RI,0.05852257609367371,28.20161247253418,4.401145553588867
BHS,Bahamas,BHS.26_1,Rum Cay,,,District,District,,BS.RC,0.12449441353480022,24.912878036499023,3.3296289443969727
BHS,Bahamas,BHS.27_1,San Salvador,São Salvador|Watling Island,,District,District,,BS.SS,0.10563582181930542,25.524059295654297,3.022541046142578
BHS,Bahamas,BHS.28_1,South Abaco,,,District,District,,BS.SB,0.14566922187805176,29.802322387695312,2.066526985168457
BHS,Bahamas,BHS.29_1,South Andros,,,District,District,,BS.SN,0.047796169916788735,26.65911865234375,2.862119992574056
BHS,Bahamas,BHS.30_1,South Eleuthera,,,District,District,,BS.SE,0.08590464293956757,26.6300048828125,2.2946560382843018
BHS,Bahamas,BHS.31_1,Spanish Wells,,,District,District,,BS.SW,0.10768337547779083,28.085195541381836,2.162148952484131
BHS,Bahamas,BHS.32_1,West Grand Bahama,,,District,District,,BS.WB,0.29078803743634907,31.373929977416992,2.016106196812221
BIH,Bosnia and Herzegovina,BIH.1_1,Brčko,,,Distrikt,District,,BA.BR,1.8737857818603516,69.383544921875,19.144638061523438
BIH,Bosnia and Herzegovina,BIH.2_1,Federacija Bosna i Hercegovina,Federation of Bosnia and Herzegovina,,Entity,Entity,,BA.BF,0.7020013697007124,69.383544921875,15.93442813648897
BIH,Bosnia and Herzegovina,BIH.3_1,Repuplika Srpska,Serbian Republic,,Entity,Entity,,BA.SR,0.8758222978193682,72.75957489013672,17.117420909168956
BLR,Belarus,BLR.1_1,Brest,Брест|Brestskaya Voblasts'|Brèst,,Voblasts',Region,,BY.BR,1.3350873674665178,64.37767028808594,14.138163663903061
BLR,Belarus,BLR.2_1,Homyel',Гомель|Gomel|Gomel'|Homyel'skaya Voblasts'|Homje,,Voblasts',Region,,BY.HO,1.3101491119902013,58.091243743896484,8.63380716614804
BLR,Belarus,BLR.3_1,Hrodna,Гродно|Grodno|Hrodzenskaya Voblasts',,Voblasts',Region,,BY.HR,1.2919551050940226,53.725669860839844,7.232545364734738
BLR,Belarus,BLR.4_1,Mahilyow,Могилёв|Mahiljow|Mogilev|Mahilyowskaya Voblasts',,Voblasts',Region,,BY.MA,0.7817109884675016,51.16453552246094,4.138494432586985
BLR,Belarus,BLR.5_1,Minsk,Минск|Минская Область|Minsk Oblast|Minskaya Voblasts',,Voblasts',Region,,BY.MI,1.3813292706599,51.106327056884766,6.362732433881916
BLR,Belarus,BLR.6_1,Vitsyebsk,Витебск|Vicebsk|Vitebsk|Vitsyebskaya Voblasts'|Witebsk,,Voblasts',Region,,BY.VI,0.8306180698665109,47.32283020019531,2.9957388329693653
BLZ,Belize,BLZ.1_1,Belize,,,District,District,,BZ.BZ,0.12231074439154731,30.32621192932129,7.4516101413302955
BLZ,Belize,BLZ.2_1,Cayo,,,District,District,,BZ.CY,0.1845262050628662,31.548551559448242,7.653380450080423
BLZ,Belize,BLZ.3_1,Corozal,,,District,District,,BZ.CZ,0.12605176188729025,31.490345001220703,8.004776000976562
BLZ,Belize,BLZ.4_1,Orange Walk,,,District,District,,BZ.OW,0.27592917049632354,30.617229461669922,8.313612994025736
BLZ,Belize,BLZ.5_1,Stann Creek,,,District,District,,BZ.SC,0.06994672463490413,30.559022903442383,7.2027153602013225
