iso_a3,country,ndc_overview,ndc_full,embed_url,embed_code
TCD,Chad,https://climatewatchdata.org/ndcs/country/TCD,https://climatewatchdata.org/ndcs/country/TCD/full,https://climatewatchdata.org/embed/countries/TCD/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/TCD/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CHL,Chile,https://climatewatchdata.org/ndcs/country/CHL,https://climatewatchdata.org/ndcs/country/CHL/full,https://climatewatchdata.org/embed/countries/CHL/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CHL/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CHN,China PR,https://climatewatchdata.org/ndcs/country/CHN,https://climatewatchdata.org/ndcs/country/CHN/full,https://climatewatchdata.org/embed/countries/CHN/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CHN/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CHN,China,https://climatewatchdata.org/ndcs/country/CHN,https://climatewatchdata.org/ndcs/country/CHN/full,https://climatewatchdata.org/embed/countries/CHN/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CHN/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
COL,Colombia,https://climatewatchdata.org/ndcs/country/COL,https://climatewatchdata.org/ndcs/country/COL/full,https://climatewatchdata.org/embed/countries/COL/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/COL/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
COM,Comoros,https://climatewatchdata.org/ndcs/country/COM,https://climatewatchdata.org/ndcs/country/COM/full,https://climatewatchdata.org/embed/countries/COM/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/COM/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
COG,Republic of Congo,https://climatewatchdata.org/ndcs/country/COG,https://climatewatchdata.org/ndcs/country/COG/full,https://climatewatchdata.org/embed/countries/COG/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/COG/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
COD,Democratic Republic of the Congo,https://climatewatchdata.org/ndcs/country/COD,https://climatewatchdata.org/ndcs/country/COD/full,https://climatewatchdata.org/embed/countries/COD/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/COD/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
COK,Cook Islands,https://climatewatchdata.org/ndcs/country/COK,https://climatewatchdata.org/ndcs/country/COK/full,https://climatewatchdata.org/embed/countries/COK/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/COK/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CRI,Costa Rica,https://climatewatchdata.org/ndcs/country/CRI,https://climatewatchdata.org/ndcs/country/CRI/full,https://climatewatchdata.org/embed/countries/CRI/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CRI/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CIV,Ivory Coast,https://climatewatchdata.org/ndcs/country/CIV,https://climatewatchdata.org/ndcs/country/CIV/full,https://climatewatchdata.org/embed/countries/CIV/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CIV/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
HRV,Croatia,https://climatewatchdata.org/ndcs/country/HRV,https://climatewatchdata.org/ndcs/country/HRV/full,https://climatewatchdata.org/embed/countries/HRV/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/HRV/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CYP,Cyprus,https://climatewatchdata.org/ndcs/country/CYP,https://climatewatchdata.org/ndcs/country/CYP/full,https://climatewatchdata.org/embed/countries/CYP/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CYP/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
CZE,Czech Republic,https://climatewatchdata.org/ndcs/country/CZE,https://climatewatchdata.org/ndcs/country/CZE/full,https://climatewatchdata.org/embed/countries/CZE/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/CZE/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
DNK,Denmark,https://climatewatchdata.org/ndcs/country/DNK,https://climatewatchdata.org/ndcs/country/DNK/full,https://climatewatchdata.org/embed/countries/DNK/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/DNK/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
DJI,Djibouti,https://climatewatchdata.org/ndcs/country/DJI,https://climatewatchdata.org/ndcs/country/DJI/full,https://climatewatchdata.org/embed/countries/DJI/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/DJI/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
DMA,Dominica,https://climatewatchdata.org/ndcs/country/DMA,https://climatewatchdata.org/ndcs/country/DMA/full,https://climatewatchdata.org/embed/countries/DMA/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/DMA/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
DOM,Dominican Republic,https://climatewatchdata.org/ndcs/country/DOM,https://climatewatchdata.org/ndcs/country/DOM/full,https://climatewatchdata.org/embed/countries/DOM/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/DOM/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ECU,Ecuador,https://climatewatchdata.org/ndcs/country/ECU,https://climatewatchdata.org/ndcs/country/ECU/full,https://climatewatchdata.org/embed/countries/ECU/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ECU/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
GNQ,Equatorial Guinea,https://climatewatchdata.org/ndcs/country/GNQ,https://climatewatchdata.org/ndcs/country/GNQ/full,https://climatewatchdata.org/embed/countries/GNQ/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/GNQ/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ERI,Eritrea,https://climatewatchdata.org/ndcs/country/ERI,https://climatewatchdata.org/ndcs/country/ERI/full,https://climatewatchdata.org/embed/countries/ERI/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ERI/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
EST,Estonia,https://climatewatchdata.org/ndcs/country/EST,https://climatewatchdata.org/ndcs/country/EST/full,https://climatewatchdata.org/embed/countries/EST/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/EST/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ETH,Ethiopia,https://climatewatchdata.org/ndcs/country/ETH,https://climatewatchdata.org/ndcs/country/ETH/full,https://climatewatchdata.org/embed/countries/ETH/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ETH/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
EUU,EU-27,https://climatewatchdata.org/ndcs/country/EUU,https://climatewatchdata.org/ndcs/country/EUU/full,https://climatewatchdata.org/embed/countries/EUU/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/EUU/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
FJI,Fiji,https://climatewatchdata.org/ndcs/country/FJI,https://climatewatchdata.org/ndcs/country/FJI/full,https://climatewatchdata.org/embed/countries/FJI/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/FJI/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
FIN,Finland,https://climatewatchdata.org/ndcs/country/FIN,https://climatewatchdata.org/ndcs/country/FIN/full,https://climatewatchdata.org/embed/countries/FIN/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/FIN/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
FRA,France,https://climatewatchdata.org/ndcs/country/FRA,https://climatewatchdata.org/ndcs/country/FRA/full,https://climatewatchdata.org/embed/countries/FRA/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/FRA/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
