iso_a3,Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,GCAM,Paris - Continued ambition,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1117.2225690704001,1633.0050780096,826.1220598549999,843.7226218786,945.5612735978,1150.6114099180004,1099.7897963871999,1246.673809839,1412.9565778986,1498.6488078953998,1660.7191246662
,GCAM,Paris - Increased ambition,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1117.2225690704001,1633.0050780096,826.1220598549999,843.7226218786,870.7675193028001,1084.062280012,815.1947511484,800.2529323527999,813.5736616685999,829.1425515678,937.2662914592
ARG,GCAM,Low policy,Argentina,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,294.6779377094,708.4866787002398,427.9276418937,519.11139831252,550.3168054951999,555.84562640188,564.7749347610201,585.59131126912,619.11521863044,644.04304734854,645.83089892558
ARG,GCAM,No policy,Argentina,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,294.6779377094,708.4866787002398,427.9276418937,519.11139831252,602.41946549976,661.39070256118,711.0139755936,779.1288550378599,862.1891246225599,940.48915493432,1063.22857817548
ARG,GCAM,Paris - Continued ambition,Argentina,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,294.6779377094,708.4866787002398,456.27710342983994,400.99036255748007,392.55053974614003,359.13096163295995,321.377023867,303.78194739854,292.64103159442004,286.48877071100003,273.14896466126004
ARG,GCAM,Paris - Increased ambition,Argentina,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,294.6779377094,708.4866787002398,456.27710342983994,400.99036255748007,398.91288987716,345.8916623538,300.42030314454,277.79100170476,264.0654716905,258.83719785584003,253.80962484664002
,GCAM,Low policy,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,635.6618425878,786.9431809491999,451.88861170719997,613.6561384962,649.533411912,660.1391826990001,639.7592396326,613.2711710169999,576.9111408618,576.596730758,572.2149940230001
,GCAM,No policy,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,635.6618247078,786.9432820292,451.88861170219997,613.6561381532,750.3522836922,838.9456220648001,883.0745249022,912.9651582074,927.6453337554,1064.038085437,1077.2668293298
,GCAM,Paris - Continued ambition,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,635.6618425878,786.9431809491999,438.0898811034,382.8842987186,356.0806775792,328.20399758580004,277.35115729079996,253.7659738172,231.01215547826,245.71894825362,250.43575656124
,GCAM,Paris - Increased ambition,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,635.6618425878,786.9431809491999,438.0898805664,382.8842985966,380.2890118108,336.31808916119996,278.66388814327996,254.183640647,233.72813644065997,235.14990672340002,249.08051705718003
BRA,GCAM,Low policy,Brazil,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1565.7823872536,1957.242633877,1458.7436873566,1860.8361816745999,1644.2187004070001,1731.3603095842,1739.9464304792,1669.8921403372,1688.2565118100001,1730.5928371665998,1768.5866319243999
BRA,GCAM,No policy,Brazil,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1565.7823872536,1957.242633877,1458.7436873566,1860.8361816745999,2231.861071231,2319.0250597995996,2379.186138559,2565.8319994394,2877.70663566,3124.7402812228,3407.9034876642
