iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KAZ,Kazakhstan,CAIT,Total including LUCF,All GHG,MtCO₂e,308.25,318.28,319.1,277.48,252.51,220.83,192.78,164.97,164.26,148.12,147.35,147.08,164.14,175.32,192.35,204.78,226.14,234.21,280.62,249.71,275.78,284.28,284.28,297.58,248.23,249.48,271.53,280.59,271.23
COL,Colombia,CAIT,Total including LUCF,All GHG,MtCO₂e,217.08,218.85,222.51,226.53,228.62,231.69,232.23,237.26,239.0,228.71,233.07,222.71,221.71,223.94,226.33,228.35,229.66,235.52,236.44,240.51,244.95,223.5,221.94,228.65,232.02,233.78,264.21,260.61,267.95
ARE,United Arab Emirates,CAIT,Total including LUCF,All GHG,MtCO₂e,69.71,76.25,74.82,77.76,84.37,90.78,96.09,103.86,108.39,112.69,113.34,127.37,131.6,139.31,148.02,156.7,162.95,174.27,199.89,202.08,208.58,214.63,226.57,237.63,240.02,252.85,259.65,269.82,263.24
UKR,Ukraine,CAIT,Total including LUCF,All GHG,MtCO₂e,873.7,828.09,735.92,646.85,551.55,521.01,459.23,434.81,406.96,403.27,385.01,408.37,411.04,441.53,406.48,387.71,393.04,401.26,387.22,327.37,345.37,376.94,364.85,353.9,317.98,265.08,277.97,251.96,262.43
PHL,Philippines,CAIT,Total including LUCF,All GHG,MtCO₂e,98.21,98.27,100.41,105.92,113.69,125.88,134.83,143.44,137.3,142.9,144.82,144.28,145.99,149.12,152.88,154.2,147.22,152.77,155.97,157.97,163.75,165.75,170.9,182.28,190.12,199.22,212.04,228.35,234.82
UZB,Uzbekistan,CAIT,Total including LUCF,All GHG,MtCO₂e,197.93,200.66,190.34,222.25,199.69,190.94,193.36,187.84,198.82,205.67,225.43,218.92,222.74,217.72,220.2,217.26,240.12,238.1,247.58,221.36,226.78,239.23,227.25,229.83,222.96,219.73,227.54,231.55,232.14
MMR,Myanmar,CAIT,Total including LUCF,All GHG,MtCO₂e,207.89,207.34,209.89,212.57,215.09,218.2,215.9,213.58,219.89,225.41,222.18,201.58,200.33,212.14,225.17,216.56,221.14,230.26,217.36,227.49,232.44,202.7,211.26,213.95,221.49,227.79,221.28,229.98,231.62
BGD,Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,115.06,115.24,117.14,118.35,120.8,125.86,126.39,128.66,128.46,132.37,134.54,139.71,143.03,144.67,146.24,150.91,156.42,159.06,167.36,171.06,178.5,183.76,187.33,190.85,195.62,204.52,205.26,214.18,220.75
DZA,Algeria,CAIT,Total including LUCF,All GHG,MtCO₂e,95.67,94.54,94.16,101.7,99.45,103.66,104.99,109.08,114.42,120.4,127.36,122.31,129.57,135.37,139.19,144.67,150.18,157.43,160.67,170.49,171.63,179.41,189.38,193.39,203.53,211.46,210.03,212.33,219.11
IRQ,Iraq,CAIT,Total including LUCF,All GHG,MtCO₂e,78.65,58.3,80.01,103.01,114.03,110.0,111.75,130.3,96.75,80.16,90.52,102.09,97.81,86.92,90.93,105.09,101.32,95.48,104.97,128.25,141.36,153.68,175.68,186.98,193.77,185.86,197.79,201.29,216.19
