GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
BFA,Burkina Faso,0.423455258256598,0.7575730326004205,1.1410010530334613,1.5291694233976219,1.938010372861079,2.4053071413681844,2.891338728973318,3.38791169699826,3.9077533624564964
BGD,Bangladesh,0.3188695692478266,0.5670403502041236,0.8867875866423872,1.2206703128671288,1.6080836245888157,1.991467927631579,2.549527046375705,3.025430779708059,3.5128121053365837
BGR,Bulgaria,0.7284503173828125,1.196780517578125,1.5254462890625,2.0369725341796876,2.5447255859375,3.08664794921875,3.6700537109375,4.3013642578125,4.95216357421875
BHR,Bahrain,0.5894279479980469,0.941925048828125,1.2672309875488281,1.6856956481933594,2.2935562133789062,2.9205551147460938,3.5686569213867188,4.20599365234375,4.659370422363281
BHS,Bahamas,0.5425464312235514,0.7610371907552084,0.9315435091654459,1.1955477396647136,1.49397611618042,1.8570702870686848,2.1745761235555015,2.6073503494262695,3.083136240641276
BIH,Bosnia and Herzegovina,0.74957275390625,1.254377411633003,1.6148887572249746,2.0892271956777186,2.5515694967130336,3.1255763604388975,3.675126486677464,4.3261813031948675,4.975908481008638
BLM,Saint-Barthélemy,0.597808837890625,0.846221923828125,1.02294921875,1.306396484375,1.53704833984375,1.895233154296875,2.22637939453125,2.651397705078125,3.053314208984375
BLR,Belarus,0.8288474818638393,1.2745954241071429,1.6328622581845238,2.1107654389880954,2.5846216982886903,3.1737332589285714,3.809119931175595,4.404545200892857,5.068612351190477
BLZ,Belize,0.525199760824947,0.821525444418697,1.1059539277674788,1.4272554041975636,1.8030835167836334,2.2272468178959217,2.6479393910553495,3.1193521790585277,3.642750368279926
BMU,Bermuda,0.6246846516927084,0.841796875,1.0172526041666667,1.2784525553385417,1.561767578125,1.9145406087239583,2.2441813151041665,2.6455586751302085,2.9737752278645835
BOL,Bolivia,0.5844938262730037,0.9893859749054508,1.4249946084977385,1.8728790378392077,2.350901507914847,2.9039130731441047,3.5001133129288835,4.23424767525733,4.960180252846226
BRA,Brazil,0.5256615388734346,0.8877821602904468,1.2557026192830851,1.6186040031625486,2.0197358505034693,2.4691271392156033,3.036592750465392,3.6401771265231004,4.296537855390083
BRB,Barbados,0.636871337890625,0.8805338541666666,1.0501505533854167,1.2618916829427083,1.649322509765625,2.0098470052083335,2.2421366373697915,2.6402384440104165,3.0616963704427085
BRN,Brunei,0.40174713134765627,0.6565414428710937,0.9258392333984375,1.179937744140625,1.4638442993164062,1.7868972778320313,2.1419296264648438,2.641007995605469,3.121649169921875
BTN,Bhutan,0.4413859049479167,0.7526370317508013,1.1087266970903447,1.513179681239984,1.9778915796524439,2.449336516551482,3.056151952498998,3.644544943785056,4.2474721272786455
BVT,Bouvet Island,0.408050537109375,0.52117919921875,0.6864013671875,0.741302490234375,0.949462890625,1.1380615234375,1.369873046875,1.682220458984375,1.946624755859375
BWA,Botswana,0.5804730902777778,1.0132459852430555,1.4158656141493056,2.0044316948784724,2.4601261393229166,3.140536566840278,3.8958924696180555,4.587203776041667,5.359171006944444
CAF,Central African Republic,0.40642617267111075,0.741287032417629,1.0776361880095109,1.4176808232846467,1.7834545633067256,2.193414306640625,2.672744883661685,3.2014462678328806,3.751570461107337
CAN,Canada,0.7282784476269869,1.208412835070737,1.8041731836171453,2.3972738070186796,2.9963698140923953,3.7598300568163423,4.632335742497329,5.511572687688174,6.343986734759947
CCK,Cocos Islands,0.6329803466796875,0.8134918212890625,0.9356536865234375,1.2225189208984375,1.4344329833984375,1.806610107421875,2.0576171875,2.4217529296875,2.839874267578125
CHE,Switzerland,0.6553208487374442,1.1169776916503906,1.4705265590122767,1.9602037157331194,2.3498627798897878,3.0105552673339844,3.64035279410226,4.358301162719727,5.144307817731585
CHL,Chile,0.3568215053369889,0.5929495071159853,0.86614882790318,1.1437506515962166,1.4451512645957552,1.808095486850511,2.1824573384706842,2.6109956722920216,3.0563736091886713
CHN,China,0.5094416330077024,0.9060739998199637,1.330118608710627,1.7749893348049346,2.288879283690275,2.8738280516156305,3.5095791063936375,4.139120620420815,4.777168361356378
CIV,Côte d'Ivoire,0.38920838155864196,0.686781392666538,0.9818461853780864,1.2980133182227367,1.6308227036715535,2.0015042779867542,2.4155820995691872,2.8562900872878085,3.319773984053498
CMR,Cameroon,0.4013047339211048,0.6901132073200924,1.0267596177651848,1.3617297535211268,1.7446701694542253,2.127281511333627,2.560273850132042,3.0366609815140846,3.5596122634242957
COD,Democratic Republic of the Congo,0.45954937757290704,0.773163978339489,1.1460729653595336,1.5151491925400122,1.9205933556478916,2.3714076987630808,2.8940701706294245,3.447015548053247,4.018010349338258
COG,Republic of Congo,0.43937847605425184,0.7189223846095202,1.0471649737163105,1.4341333098571096,1.8143548788191217,2.178488125145214,2.618653024439475,3.1299066366316217,3.6861490582888012
COK,Cook Islands,0.4910477858323317,0.6895892803485577,0.8446584848257211,1.0478398249699519,1.2950322077824519,1.5410954402043269,1.888658963716947,2.229181142953726,2.6021564190204325
COL,Colombia,0.5083857203241604,0.8198514021688433,1.1370546437733209,1.5020560284514926,1.9128673041044777,2.3750854127798506,2.9064079990671643,3.468463736007463,4.069679337686567
COM,Comoros,0.5550101143973214,0.7763715471540179,0.9856828962053571,1.2492000034877233,1.516207013811384,1.8474208286830358,2.2452479771205356,2.6392974853515625,3.098517281668527
CPV,Cape Verde,0.5170070103236607,0.8039888654436383,1.0346145629882812,1.2602081298828125,1.5835800170898438,1.9192799159458704,2.2626211983816966,2.544854300362723,2.9646268572126115
CRI,Costa Rica,0.5127467564174107,0.7926911853608631,1.0196605864025297,1.324334716796875,1.6182806105840775,1.928120640345982,2.2671255929129464,2.6906328473772323,3.092852201915923
CUB,Cuba,0.5836387689966355,0.8021489721145073,0.9926195353487112,1.2777636451442747,1.585901970410869,1.955173464587135,2.320202458513914,2.728535450287979,3.1768910206147356
CUW,Curaçao,0.557373046875,0.8474033900669643,1.0605512346540178,1.3661368233816964,1.6333879743303572,1.9837210518973214,2.3543570382254466,2.807774135044643,3.2003914969308034
CXR,Christmas Island,0.616729736328125,0.849334716796875,0.9943084716796875,1.189178466796875,1.4869537353515625,1.7874603271484375,2.121337890625,2.5727386474609375,2.9174957275390625
CYM,Cayman Islands,0.5423496791294643,0.7847856794084821,0.9978201729910714,1.2567138671875,1.5723135811941964,1.9446541922433036,2.29364013671875,2.743168422154018,3.208866664341518
CYP,Cyprus,0.6574532645089286,0.9528285435267857,1.2431785946800595,1.5645068940662203,1.8849341982886905,2.321504138764881,2.8184276762462797,3.3176196870349703,3.7483971005394343
CZE,Czech Republic,0.7330265696455792,1.1636382312309452,1.5433724752286586,2.0278731183307928,2.437255710508765,3.0801031345274392,3.6230415158155487,4.203838664729421,4.9828720464939025
DEU,Germany,0.6516943618181317,1.0616498212511043,1.4078606379748233,1.8045038912967462,2.176050983694052,2.7343117362338045,3.3585140376545937,3.905922753791225,4.434922289090106
DJI,Djibouti,0.43432552256482715,0.7252547893118351,1.0471639430269282,1.3996237896858377,1.8833455836519282,2.297642484624335,2.805817949010971,3.3284022554438164,3.8173042459690825
DMA,Dominica,0.621734619140625,0.8567428588867188,1.00897216796875,1.2206954956054688,1.5745925903320312,1.918121337890625,2.1413726806640625,2.611328125,3.0239715576171875
DNK,Denmark,0.653441882524334,0.9882935904414276,1.146511557323685,1.524507949912483,1.8001323762487194,2.273136326524078,2.8284501873078893,3.2842363868254782,3.767852282914959
DOM,Dominican Republic,0.6813443378337378,0.8924089450280643,1.0698520697436287,1.3322193923505765,1.6451863409246055,2.0138949792361953,2.4007755020289747,2.8288411260808557,3.2461595257509104
DZA,Algeria,0.5840406889224379,0.9787624245148003,1.412268772034697,1.8534801731359956,2.363001452981011,2.979283566915666,3.628626452981011,4.243361229405194,4.8781448530438425
ECU,Ecuador,0.5538447507515482,0.8509481403684835,1.1146084130634362,1.451122090563796,1.828633813814084,2.272210749612975,2.709489251062068,3.1908546834497407,3.6702402703773043
EGY,Egypt,0.6027069880364785,0.9528282618953892,1.324371416747416,1.674834968507752,2.12444295562823,2.647004198966408,3.2039470031895996,3.7450541020671833,4.275807619710918
ERI,Eritrea,0.4641390380859375,0.78024755859375,1.131119873046875,1.467844970703125,1.8635350341796875,2.28629931640625,2.802124755859375,3.3431083984375,3.94907763671875
ESH,Western Sahara,0.4921871563335797,0.8234973941837345,1.2297060854800113,1.6380777444925394,2.015939798441019,2.5019448770059123,2.9921792520059123,3.498202487155124,4.059481234163852
ESP,Spain,0.5643831158334348,0.9721369460123539,1.3506042421038218,1.7572716821598102,2.1631629594693282,2.6319036883063536,3.161146124939143,3.7816838428827895,4.424584556809883
EST,Estonia,0.8344758499500363,1.2767770456713299,1.530929033146348,1.913263897563136,2.435187761173692,3.0941176303597384,3.7116500499636627,4.271494310955669,4.7770538330078125
ETH,Ethiopia,0.4471561800282321,0.7477919343847352,1.0557995187159268,1.39603199230919,1.7221303969528816,2.100826883761682,2.5596366335669782,3.0654302959501556,3.5750164281542056
FIN,Finland,0.7859012133454624,1.2783355712890625,1.715290853421982,2.125657800125749,2.712197290707941,3.2832856896805436,3.9708042928617293,4.609681011879281,5.295461576278895
FJI,Fiji,0.3959874362810284,0.5760428787123227,0.7496645230773493,0.9687082277122119,1.2161878220578457,1.5445983020971852,1.8773217167414673,2.226911828873005,2.5671746003712324
FLK,Falkland Islands,0.24391259087456596,0.3732948303222656,0.5226317511664497,0.7422273423936632,0.9758423699273003,1.2630967034233942,1.5067202250162761,1.8714010450575087,2.1912557813856335
FRA,France,0.5698010532511358,0.9878543650610208,1.3114068361025992,1.6794038387243766,2.066771325879649,2.593935117616758,3.1485992973372783,3.768832054363905,4.334905216478234
FRO,Faroe Islands,0.3840518527560764,0.5507083468967013,0.6565060085720487,0.8077935112847222,1.1956075032552083,1.4589012993706598,1.7512546115451388,1.9841952853732638,2.2311028374565973
FSM,Micronesia,0.6636642064803686,0.9255926670172275,1.0309593005058093,1.2738330547626202,1.5803844745342548,1.9237459622896635,2.3478937393579726,2.701723147661258,3.185634515224359
GAB,Gabon,0.438567590362024,0.7021466379376535,0.9590700041749847,1.3230808267429361,1.6875311924140048,2.031582769070562,2.43670384362523,2.8657661456733723,3.329943157824017
GBR,United Kingdom,0.425845103402251,0.7179543688932635,0.9029028900065963,1.070312983127886,1.2736404137120712,1.6443093332577507,2.0823249917546174,2.467815308583443,2.9073834180202835
