GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
BHS,Bahamas,0.5621752738952637,0.7676440874735514,0.937432607014974,1.213440736134847,1.5319010416666667,1.8919385274251301,2.2726944287618003,2.6842784881591797,3.1133251190185547
BIH,Bosnia and Herzegovina,0.6269439449155234,0.9619892399485518,1.2283203621220782,1.592330064230818,1.9960123697916667,2.603374202076982,3.160413788586128,3.7367380033663617,4.423644523310467
BLM,Saint-Barthélemy,0.600311279296875,0.86541748046875,1.03582763671875,1.309295654296875,1.571624755859375,1.9381103515625,2.261322021484375,2.712646484375,3.13018798828125
BLR,Belarus,0.7841892787388393,1.114584495907738,1.4847400483630953,1.995512462797619,2.4933047340029764,3.051453683035714,3.6261886160714285,4.14369373139881,4.752848772321428
BLZ,Belize,0.5064754162804556,0.7784858315677966,1.092277914790784,1.4462792348053495,1.8497128244173728,2.2678460589909957,2.6737758830442266,3.190884347689354,3.6324669789459745
BMU,Bermuda,0.6335347493489584,0.853729248046875,1.0619608561197917,1.2975565592447917,1.5984090169270833,1.9614054361979167,2.30780029296875,2.7466634114583335,2.9920145670572915
BOL,Bolivia,0.5207720951073183,0.8985163926037117,1.3438561547196664,1.7494632866110418,2.252903491500312,2.7814486022301934,3.3604484267779164,3.9556245857376795,4.574041774699782
BRA,Brazil,0.49843752479004483,0.8604506400459045,1.239335240073405,1.6169516640400237,2.063967240121002,2.542037801182518,3.0979335679683535,3.6439838858097815,4.231368463360975
BRB,Barbados,0.6379496256510416,0.8624674479166666,1.0401102701822917,1.2730204264322917,1.65203857421875,2.0130411783854165,2.2328898111979165,2.6916300455729165,3.1119791666666665
BRN,Brunei,0.435723876953125,0.6778396606445313,0.9418045043945312,1.2291824340820312,1.52493896484375,1.869256591796875,2.2489578247070314,2.6624725341796873,3.0920135498046877
BTN,Bhutan,0.4235370342548077,0.7482354579827725,1.1617013002053285,1.5527879763872197,1.940763424604367,2.4225870768229165,2.938084528996394,3.485170413286258,4.056956364558293
BVT,Bouvet Island,0.41302490234375,0.5916748046875,0.770782470703125,0.810791015625,1.097259521484375,1.237640380859375,1.387115478515625,1.730377197265625,2.08404541015625
BWA,Botswana,0.5532851155598958,0.9202433268229167,1.3299427625868057,1.728666720920139,2.2063886176215277,2.7482373046875,3.363625759548611,3.9931404622395834,4.658912217881944
CAF,Central African Republic,0.536502970819888,0.8874363111413044,1.2456905199133832,1.592123678456182,2.004169099227242,2.4288558296535325,2.9413834281589675,3.468826957370924,4.030544380519701
CAN,Canada,0.8416725639588527,1.3859945085629188,2.0207241554436854,2.672490611544563,3.341512907102852,4.193782323399915,5.148364911457153,6.079623814302826,7.001755276959435
CCK,Cocos Islands,0.6336517333984375,0.8116912841796875,0.932464599609375,1.2220611572265625,1.4321441650390625,1.804656982421875,2.045562744140625,2.41607666015625,2.825164794921875
CHE,Switzerland,0.5693514687674386,0.915447507585798,1.2101906367710658,1.5102718898228236,1.9453157697405135,2.606374740600586,3.219394956316267,3.818927764892578,4.487645285470145
CHL,Chile,0.3139247775145514,0.5258085130629792,0.7763931127111726,1.0485873809935762,1.3876456802775412,1.7657651625053237,2.1262272190871663,2.5494819394165247,2.980817561932141
CHN,China,0.5688429779964306,0.9871908805732983,1.4343719912408417,1.8897995481479741,2.422873027428142,3.024658126682948,3.6726308590080783,4.324473882992047,4.978650529932995
CIV,Côte d'Ivoire,0.5270815248842593,0.853879135822563,1.1641306936005016,1.4857024518550668,1.8617289978780864,2.24573256253215,2.68292236328125,3.1357346522955245,3.6212632921006946
CMR,Cameroon,0.5280066261828785,0.835678057603433,1.1742739395356514,1.5175470056668134,1.923779296875,2.322473660321303,2.790249676771567,3.2740096830985914,3.7992617325044016
COD,Democratic Republic of the Congo,0.5240754667301477,0.8548993139716067,1.1964610655442058,1.5574212137388428,1.9757970902104494,2.4178398040743305,2.945818064212065,3.4973297072176055,4.060741045321637
COG,Republic of Congo,0.5342434454141496,0.8461919167671061,1.1568757805239311,1.4812107015276488,1.8746886980134758,2.2592546541008365,2.7088121605628483,3.1785729844330857,3.7048255892048094
COK,Cook Islands,0.4959752009465144,0.6962515024038461,0.8495459923377404,1.0547579251802885,1.3034820556640625,1.5586888239933894,1.9033895639272838,2.2498075045072117,2.6278897798978367
COL,Colombia,0.4918689511427239,0.8005325180736941,1.1376680562033583,1.4910494402985075,1.8919128964552239,2.3270265858208954,2.800289762126866,3.3328818796641793,3.9080212220149253
